报告标题,年份,月份,第几周,估算日期,采集日,发布日期,生鲜乳价格_元每公斤,环比变化%,同比变化%,数据来源URL,采集时间
6月第4周畜产品和饲料集贸市场价格情况,2026,6,4,2026-06-25,06-25,2026-07-01,3.03,0.0,-0.3,https://xmsyj.moa.gov.cn/jcyj/202607/t20260701_6485442.htm,2026-07-02 16:49:49
6月第3周畜产品和饲料集贸市场价格情况,2026,6,3,2026-06-18,06-18,2026-06-23,3.03,0.0,-0.3,https://xmsyj.moa.gov.cn/jcyj/202606/t20260623_6485241.htm,2026-07-02 16:50:22
6月第2周畜产品和饲料集贸市场价格情况,2026,6,2,2026-06-11,06-11,2026-06-17,3.03,0.0,-0.3,https://xmsyj.moa.gov.cn/jcyj/202606/t20260617_6485081.htm,2026-07-02 16:50:25
6月第1周畜产品和饲料集贸市场价格情况,2026,6,1,2026-06-04,06-04,2026-06-10,3.03,0.0,-0.7,https://xmsyj.moa.gov.cn/jcyj/202606/t20260610_6484859.htm,2026-07-02 16:50:26
5月第4周畜产品和饲料集贸市场价格情况,2026,5,4,2026-05-28,05-28,2026-06-03,3.03,0.0,-1.0,https://xmsyj.moa.gov.cn/jcyj/202606/t20260603_6484706.htm,2026-07-02 16:50:28
5月第3周畜产品和饲料集贸市场价格情况,2026,5,3,2026-05-21,05-21,2026-05-26,3.03,0.3,-1.3,https://xmsyj.moa.gov.cn/jcyj/202605/t20260526_6484455.htm,2026-07-02 16:50:30
5月第2周畜产品和饲料集贸市场价格情况,2026,5,2,2026-05-14,05-14,2026-05-20,3.02,0.0,-1.6,https://xmsyj.moa.gov.cn/jcyj/202605/t20260520_6484315.htm,2026-07-02 16:50:32
5月第1周畜产品和饲料集贸市场价格情况,2026,5,1,2026-05-07,05-07,2026-05-14,3.02,0.0,-1.6,https://xmsyj.moa.gov.cn/jcyj/202605/t20260514_6484162.htm,2026-07-02 16:50:34
4月第4周畜产品和饲料集贸市场价格情况,2026,4,4,2026-04-30,04-23,2026-05-09,3.02,0.3,-1.6,https://xmsyj.moa.gov.cn/jcyj/202605/t20260509_6484024.htm,2026-07-02 16:50:38
4月第3周畜产品和饲料集贸市场价格情况,2026,4,3,2026-04-23,04-16,2026-04-22,3.01,-0.3,-2.3,https://xmsyj.moa.gov.cn/jcyj/202604/t20260422_6483464.htm,2026-07-02 16:50:40
4月第2周畜产品和饲料集贸市场价格情况,2026,4,2,2026-04-16,04-09,2026-04-15,3.02,0.0,-1.6,https://xmsyj.moa.gov.cn/jcyj/202604/t20260415_6483265.htm,2026-07-02 16:50:42
4月第1周畜产品和饲料集贸市场价格情况,2026,4,1,2026-04-09,04-02,2026-04-08,3.02,0.0,-1.6,https://xmsyj.moa.gov.cn/jcyj/202604/t20260408_6483049.htm,2026-07-02 16:50:44
3月第4周畜产品和饲料集贸市场价格情况,2026,3,4,2026-03-26,03-26,2026-03-30,3.02,-0.3,-1.9,https://xmsyj.moa.gov.cn/jcyj/202603/t20260330_6482815.htm,2026-07-02 16:50:45
3月第3周畜产品和饲料集贸市场价格情况,2026,3,3,2026-03-19,03-19,2026-03-25,3.03,0.3,-1.9,https://xmsyj.moa.gov.cn/jcyj/202603/t20260325_6482639.htm,2026-07-02 16:50:47
3月第2周畜产品和饲料集贸市场价格情况,2026,3,2,2026-03-12,03-12,2026-03-18,3.02,-0.3,-1.9,https://xmsyj.moa.gov.cn/jcyj/202603/t20260318_6482383.htm,2026-07-02 16:50:49
3月第1周畜产品和饲料集贸市场价格情况,2026,3,1,2026-03-05,03-05,2026-03-10,3.03,0.0,-1.6,https://xmsyj.moa.gov.cn/jcyj/202603/t20260310_6482107.htm,2026-07-02 16:50:51
2月第4周畜产品和饲料集贸市场价格情况,2026,2,4,2026-02-26,02-26,2026-03-03,3.03,0.0,-1.9,https://xmsyj.moa.gov.cn/jcyj/202603/t20260303_6481900.htm,2026-07-02 16:50:53
2月第3周畜产品和饲料集贸市场价格情况,2026,2,3,2026-02-19,02-24,2026-03-02,3.03,-0.3,-2.3,https://xmsyj.moa.gov.cn/jcyj/202603/t20260302_6481814.htm,2026-07-02 16:50:55
2月第2周畜产品和饲料集贸市场价格情况,2026,2,2,2026-02-12,02-12,2026-02-26,3.04,0.0,-2.3,https://xmsyj.moa.gov.cn/jcyj/202602/t20260226_6481716.htm,2026-07-02 16:50:57
